User Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Auto Calcultation,Unnamed: 13,Unnamed: 14,Unnamed: 15,VOD LINK,Unnamed: 17,Unnamed: 18,Unnamed: 19,COMP,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,MatchID_Internal,Retake W,Retake L,Postplant W,Postplant L
79,V25A3,22.05.2025,Offical,Sunset,0,1,7,5,6,6,,13,11,W,2,https://youtu.be/LjtkjtCcOUk,,,,Omen,Breach,Fade,Neon,Cypher,,0,0,0,0
80,V25A3,28.05.2025,Strategy Scrim,Pearl,0,1,1,11,2,2,,3,13,L,-10,https://www.youtube.com/watch?v=ugGgvdFMues,,,,Astra,Fade,Phoenix,Jett,Cypher,,0,0,0,0
81,V25A3,31.05.2025,Offical,Pearl,0,0,6,6,2,7,,8,13,L,-5,https://youtu.be/RPSBn1iw5ks,,,Chamber not loading in,Chamber,Sova,Phoenix,Jett,Killjoy,,0,0,0,0
82,V25A3,31.05.2025,Offical,Pearl,1,1,5,7,8,2,,13,9,W,4,https://youtu.be/Ct3_HyFqhXk,,,,Astra,Sova,Phoenix,Jett,Killjoy,,0,0,0,0
83,V25A3,04.06.2025,Strategy Scrim,Icebox,0,0,2,10,0,3,,2,13,L,-11,-,,,Asc Reyna farming us,Viper,Sova,Gekko,Sage,Killjoy,,0,0,0,0
84,V25A3,05.06.2025,Offical,Icebox,0,1,6,6,7,1,,13,7,W,6,https://www.youtube.com/watch?v=VSBcx4EsEVQ,,,,Viper,Sova,Gekko,Sage,Killjoy,,0,0,0,0
85,V25A3,05.06.2025,Offical,Icebox,1,1,9,3,4,1,,13,4,W,9,https://youtu.be/iu0TIFXAKz4,,,,Viper,Sova,Gekko,Sage,Killjoy,,0,0,0,0
86,V25A3,11.06.2025,Strategy Scrim,Ascent,0,0,1,5,4,8,,5,13,L,-8,,,,,Omen,Kay/o,Sova,Jett,Killjoy,,0,0,0,0
87,Playoffs,22.06.2025,Offical,Pearl,1,1,6,2,7,5,,13,7,W,6,https://www.youtube.com/watch?v=jY7bQPDQvOI,,,,Astra,Sova,Phoenix,Jett,Killjoy,5aca576d-bd9f-4034-b5bf-6c4e0cc56b63,4,2,7,4
88,Playoffs,22.06.2025,Offical,Pearl,1,1,5,4,8,4,,13,8,W,5,https://www.youtube.com/watch?v=jY7bQPDQvOI,,,,Astra,Sova,Phoenix,Jett,Killjoy,ef124127-4df9-48f4-a69b-4712f9a5a8b3,3,4,8,4
89,Playoffs,22.06.2025,Offical,Lotus,1,0,8,4,5,5,,13,9,W,4,https://www.youtube.com/watch?v=jY7bQPDQvOI,,,,Omen,Viper,Fade,Raze,Killjoy,f704cce3-19bd-4482-b89f-f64f92eaa3e5,3,6,5,4
90,V25A4,29.06.2025,Strategy Scrim,Ascent,1,1,8,4,10,2,,18,6,W,12,https://youtu.be/8oEQdbooccQ,,,https://youtu.be/NhVv7A5v-Ao,Omen,Chamber,Sova,Yoru,Vyse,,0,0,0,0
91,V25A4,30.06.2025,Strategy Scrim,Ascent,1,0,3,9,5,7,,8,16,L,-8,https://youtu.be/9G-wpmPraf4,,,,Omen,Chamber,Sova,Yoru,Vyse,,0,0,0,0
92,V25A4,30.06.2025,Strategy Scrim,Ascent,1,0,4,3,9,3,,13,6,W,7,https://youtu.be/9G-wpmPraf4,,,,Omen,Chamber,Sova,Yoru,Vyse,,0,0,0,0
93,V25A4,02.07.2025,Strategy Scrim,Ascent,0,1,9,4,3,10,,12,14,L,-2,https://youtu.be/SGYqkIJL4r8,,,,Omen,Chamber,Sova,Yoru,Vyse,,0,0,0,0
94,V25A4,03.07.2025,Offical,Ascent,0,0,0,3,2,10,,2,13,L,-11,https://youtu.be/i7doz5mt0Ng,,,,Omen,Chamber,Sova,Yoru,Vyse,,0,0,0,0
95,V25A4,04.07.2025,Offical,Ascent,1,1,11,1,2,0,,13,1,W,12,https://youtu.be/HWV8H07olFI,,,,Omen,Chamber,Sova,Yoru,Vyse,,0,0,0,0
96,V25A4,05.07.2025,Strategy Scrim,Bind,1,1,7,5,8,4,,15,9,W,6,https://youtu.be/FyP2foqimlg?list=PLqdLL4Iya-MxwWGbVthST8jIOhEGwKR5d,,,,Astra,Viper,Gekko,Yoru,Raze,,0,0,0,0
97,V25A4,06.07.2025,Offical,Bind,0,0,2,5,4,8,,6,13,L,-7,https://youtu.be/3nMvBIPSmFc,,,,Astra,Viper,Gekko,Yoru,Raze,,0,0,0,0
98,V25A4,07.07.2025,Offical,Bind,0,0,0,3,2,10,,2,13,L,-11,https://youtu.be/FCbgbgJUi3M,,,,Astra,Viper,Gekko,Yoru,Raze,,0,0,0,0
99,V25A4,17.07.2025,Offical,Haven,1,0,5,7,0,6,,5,13,L,-8,,,,,Omen,Viper,Sova,Killjoy,Jett,,0,0,0,0
100,V25A4,17.07.2025,Offical,Haven,0,0,7,6,7,6,,14,12,W,2,,,,Life Game,Omen,Viper,Sova,Killjoy,Jett,,0,0,0,0
101,V25A6,20.10.2025,Strategy Scrim,Bind,0,0,0,6,4,8,,4,14,L,-10,https://www.youtube.com/watch?v=D7UgTwr8tUw,,,Enemies stopped scrim at 4:14,Brimstone,Viper,Fade,Yoru,Raze,,0,0,0,0
102,V25A6,22.10.2025,Strategy Scrim,Bind,0,0,1,6,5,7,,6,13,L,-7,https://youtu.be/SkWj-H1Id9w?list=PLqdLL4Iya-MyQID3KWAVCdYO_i2jlFrCD,,,,Brimstone,Viper,Fade,Yoru,Raze,,0,0,0,0
103,V25A6,23.10.2025,Offical,Bind,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
104,V25A6,23.10.2025,Offical,Bind,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
105,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
106,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
107,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
108,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
109,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
110,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
111,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
112,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
113,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
114,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
115,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
116,,,-,-,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
